ID,Name,Description
1,Chest Pain,Discomfort or pain that you feel anywhere along the front of your body between your neck and upper abdomen.
2,Shortness of Breath,A feeling of not being able to breathe well enough.
3,Fatigue,"Feeling overtired, with low energy and a strong desire to sleep that interferes with normal daily activities."
4,Nausea,A feeling of sickness with an inclination to vomit.
5,Dizziness,A sensation of spinning and losing one's balance.
6,Headache,Pain in any region of the head.
7,Swelling,"An abnormal enlargement of a part of the body, typically as a result of an accumulation of fluid."
8,Fever,"A temporary increase in your body temperature, often due to an illness."
9,Cough,"A sudden, forceful hacking sound to release air and clear an irritation in the throat or airway."
10,Memory Loss,"Forgetfulness, a condition in which a person experiences a persistent lack of memory."
